time_s,odom_yaw_deg,imu_qx,imu_qy,imu_qz,imu_qw,imu_yaw_deg,ekf_yaw_deg
1777024203.25,,,,,,,
1777024203.31,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.41,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.51,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.61,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.71,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.81,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024203.91,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.01,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.11,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.22,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.31,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.41,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.51,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.61,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.71,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.81,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024204.91,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.01,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.11,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.21,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.31,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.41,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.51,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.61,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.71,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.81,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024205.91,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.01,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.11,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.21,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.31,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.41,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.51,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.61,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.71,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.81,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024206.91,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.01,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.11,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.21,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.31,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.41,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.51,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.61,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.71,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.81,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024207.91,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024208.01,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024208.11,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
1777024208.21,-10.81,0.02,0.00,-0.11,0.99,-12.83,-12.83
