time_s,odom_x,odom_y,odom_yaw_deg,odom_vx,odom_vy,odom_wz,imu_qx,imu_qy,imu_qz,imu_qw,imu_yaw_deg,ekf_x,ekf_y,ekf_yaw_deg,ekf_vx,ekf_vy,ekf_wz,cmd_lin_x,cmd_lin_y,cmd_lin_z,cmd_ang_x,cmd_ang_y,cmd_ang_z
1777118074.81,,,,,,,,,,,,,,,,,,,,,,,
1777118074.88,0.00,0.00,-0.35,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.11,0.00,-0.00,0.10,0.00,0.00,-0.02,,,,,,
1777118074.97,0.00,0.00,-0.38,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.09,0.00,-0.00,0.09,0.00,0.00,-0.00,,,,,,
1777118075.08,0.00,0.00,-0.38,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.09,0.00,-0.00,0.09,0.00,0.00,-0.00,,,,,,
1777118075.17,0.00,0.00,-0.38,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.09,0.00,-0.00,0.09,0.00,0.00,0.00,,,,,,
1777118075.29,0.00,0.00,-0.40,0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.09,0.00,-0.00,0.09,0.00,0.00,-0.01,,,,,,
1777118075.37,0.00,0.00,-0.35,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.09,0.00,-0.00,0.09,0.00,0.00,0.01,,,,,,
1777118075.48,0.00,0.00,-0.29,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.15,0.00,-0.00,0.15,-0.00,0.00,0.01,,,,,,
1777118075.57,0.00,0.00,-0.23,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.20,0.00,-0.00,0.20,-0.00,0.00,0.01,,,,,,
1777118075.68,0.00,0.00,-0.26,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.20,0.00,-0.00,0.20,-0.00,0.00,-0.00,,,,,,
1777118075.78,0.00,0.00,-0.26,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.19,0.00,-0.00,0.20,-0.00,0.00,-0.00,,,,,,
1777118075.87,0.00,0.00,-0.29,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.11,0.00,-0.00,0.11,-0.00,0.00,0.00,,,,,,
1777118075.97,0.00,0.00,-0.23,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.11,0.00,-0.00,0.12,-0.00,0.00,0.01,,,,,,
1777118076.08,0.00,0.00,-0.12,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,0.01,,,,,,
1777118076.18,0.00,0.00,-0.06,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118076.27,0.00,0.00,-0.03,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118076.38,0.00,0.00,0.03,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.01,,,,,,
1777118076.48,0.00,0.00,0.05,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118076.58,0.00,0.00,0.05,-0.00,0.00,0.01,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118076.67,0.00,0.00,0.05,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118076.77,0.00,0.00,0.03,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118076.88,0.00,0.00,0.03,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118076.98,0.00,0.00,0.03,0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,0.00,0.00,-0.00,,,,,,
1777118077.08,0.00,0.00,0.03,0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,0.00,0.00,0.00,,,,,,
1777118077.17,0.00,0.00,0.03,0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,0.00,0.00,0.00,,,,,,
1777118077.28,-0.00,0.00,-0.03,-0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118077.37,-0.00,0.00,-0.03,-0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118077.48,-0.00,0.00,-0.03,-0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118077.57,-0.00,0.00,-0.03,-0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118077.67,-0.00,0.00,-0.03,-0.00,0.00,-0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,0.01,,,,,,
1777118077.78,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118077.88,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118077.97,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
1777118078.07,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118078.17,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,0.00,,,,,,
1777118078.27,-0.00,0.00,-0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.14,-0.00,-0.00,0.14,-0.00,0.00,-0.00,,,,,,
