time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,amcl_yaw_deg,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
0.5,,,,,,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
1.0,,,,,,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4283
1.5,,,,,,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
2.0,,,,,,0.0000,-0.0033,-0.0000,-0.0000,0.0000,0.0000,49.4283
2.5,,,,,,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
3.0,,,,,,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4742
3.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4130
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4130
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0033,-0.0000,-0.0000,0.0000,0.0000,49.4742
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4742
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3671
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4130
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3671
9.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4130
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0044,-0.0000,-0.0000,0.0000,0.0000,49.3824
10.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0006,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
10.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.4283
11.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
12.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0003,-0.0011,-0.0000,-0.0000,0.0000,-0.0153,49.4130
12.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0005,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0006,-0.0022,-0.0000,-0.0000,0.0076,-0.0229,49.3977
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0003,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4283
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0008,0.0011,-0.0000,-0.0000,0.0000,-0.0153,49.3977
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0002,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0015,-0.0011,-0.0000,-0.0000,0.0000,0.0076,49.4436
16.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0001,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4130
17.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3671
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0006,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0033,-0.0000,-0.0000,0.0000,0.0000,49.4130
18.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0004,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3365
19.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
19.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0002,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3365
20.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0008,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4589
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3671
21.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4130
22.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
22.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
23.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0004,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3671
23.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
24.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0006,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
24.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
25.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4589
25.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
26.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0004,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3518
26.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0011,-0.0000,-0.0000,-0.0153,0.0000,49.4283
27.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0019,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
27.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
28.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3365
28.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0006,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
29.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0005,-0.0011,-0.0000,-0.0000,0.0000,-0.0153,49.4283
29.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0002,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
30.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
30.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0008,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
31.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0008,0.0011,-0.0000,-0.0000,-0.0076,0.0000,49.4589
31.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0001,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3365
32.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
32.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
33.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
33.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
34.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
34.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0006,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
35.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
35.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0006,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
36.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.4283
36.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4283
37.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3671
