time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.2367,0.0000,-0.0000,0.0305,-0.2136,51.8622
0.5,,,,,0.0000,-0.0600,0.0000,-0.0000,0.0229,0.0534,51.7857
1.0,,,,,0.0000,-0.2489,0.0000,-0.0000,0.0763,0.1144,51.8469
1.5,,,,,0.0000,-0.0444,0.0000,-0.0000,0.2975,-0.2670,51.8010
2.0,,,,,0.1791,-0.0567,0.0000,-0.0000,0.1221,-0.1068,51.8469
2.5,,,,,0.0202,-0.5889,0.0000,-0.0000,0.2289,0.2060,51.7857
3.0,,,,,0.0005,0.1467,0.0000,-0.0000,-0.0458,-0.0305,51.8928
3.5,0.0011,0.0000,0.0818,0.9966,-0.0108,0.4122,0.0000,-0.0000,-0.1450,-0.1144,51.8622
4.0,0.0084,0.0013,0.1416,0.9899,0.0007,0.0100,0.0000,-0.0000,0.0076,-0.0153,51.7704
4.5,0.0084,0.0013,0.1416,0.9899,-0.0142,-0.0056,0.0000,-0.0000,-0.1526,0.1602,51.8469
5.0,0.0084,0.0013,0.1416,0.9899,-0.2217,0.1500,0.0000,-0.0000,-0.6027,0.5188,51.8469
5.5,-0.1035,-0.0368,0.1812,0.9835,-0.2005,0.0222,0.0000,-0.0000,-0.0534,0.0305,51.9234
6.0,-0.1035,-0.0368,0.1812,0.9835,0.0030,0.0022,0.0000,-0.0000,0.0076,0.0000,51.7857
6.5,-0.1035,-0.0368,0.1812,0.9835,0.0029,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
7.0,-0.1035,-0.0368,0.1812,0.9835,0.0019,0.0022,0.0000,-0.0000,0.0000,0.0000,51.8163
7.5,-0.1035,-0.0368,0.1812,0.9835,0.0014,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7857
8.0,-0.1035,-0.0368,0.1812,0.9835,0.0010,0.0022,0.0000,-0.0000,0.0000,0.0000,51.7857
8.5,-0.1035,-0.0368,0.1812,0.9835,0.0007,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8469
9.0,-0.1035,-0.0368,0.1812,0.9835,0.0005,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8469
9.5,-0.1035,-0.0368,0.1812,0.9835,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
10.0,-0.1035,-0.0368,0.1812,0.9835,0.0003,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
10.5,-0.1035,-0.0368,0.1812,0.9835,0.0002,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8163
11.0,-0.1035,-0.0368,0.1812,0.9835,0.0002,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
11.5,-0.1035,-0.0368,0.1812,0.9835,0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
12.0,-0.1035,-0.0368,0.1812,0.9835,0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
12.5,-0.1035,-0.0368,0.1812,0.9835,0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
13.0,-0.1035,-0.0368,0.1812,0.9835,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
13.5,-0.1035,-0.0368,0.1812,0.9835,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
14.0,-0.1035,-0.0368,0.1812,0.9835,0.0004,-0.0000,0.0000,-0.0000,-0.0229,0.0000,51.8469
14.5,-0.1035,-0.0368,0.1812,0.9835,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
15.0,-0.1035,-0.0368,0.1812,0.9835,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
15.5,-0.1035,-0.0368,0.1812,0.9835,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
16.0,-0.1035,-0.0368,0.1812,0.9835,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
16.5,-0.1035,-0.0368,0.1812,0.9835,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7397
17.0,-0.1035,-0.0368,0.1812,0.9835,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8163
17.5,-0.1035,-0.0368,0.1812,0.9835,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
18.0,-0.1035,-0.0368,0.1812,0.9835,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
