time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rps,right_rps,voltage
1777785502.291,,,,,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785503.291,,,,,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785504.290,,,,,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785505.291,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785506.290,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785507.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785508.290,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785509.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785510.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.7191
1777785511.290,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785512.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.7191
1777785513.290,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785514.290,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785515.292,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785516.291,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0022,-0.0000,0.0000,0.0000,-0.0229,49.6732
1777785517.292,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,-0.0000,0.0000,0.0000,0.0000,49.5814
