time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rad_s,right_rad_s,voltage
1777784426.094,,,,,0.0000,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.6885
1777784427.094,,,,,-0.0000,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784428.100,,,,,0.0001,-0.0011,-0.0000,0.0000,0.0000,-0.0479,49.6426
1777784429.094,0.0000,0.0000,0.0000,1.0000,0.0002,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.7038
1777784430.094,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0022,-0.0000,0.0000,0.0000,-0.0000,49.7038
1777784431.094,0.0000,0.0000,0.0000,1.0000,0.0005,-0.0022,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784432.094,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784433.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.7191
1777784434.094,0.0000,0.0000,0.0000,1.0000,0.0001,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784435.094,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784436.094,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,-0.0000,0.0000,0.0000,-0.0000,49.6732
1777784437.094,0.0000,0.0000,0.0000,1.0000,0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784438.094,0.0000,0.0000,0.0000,1.0000,-0.0007,-0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6273
1777784439.097,0.0000,0.0000,0.0000,1.0000,-0.0007,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784440.095,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784441.094,0.0000,0.0000,0.0000,1.0000,0.0001,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784442.100,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784443.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6120
1777784444.094,0.0000,0.0000,0.0000,1.0000,-0.0009,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784445.094,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,-0.0000,0.0000,0.0000,-0.1438,49.6885
1777784446.094,0.0000,0.0000,0.0000,1.0000,0.0001,-0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784447.094,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784448.097,0.0000,0.0000,0.0000,1.0000,-0.0010,-0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784449.096,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.5814
1777784450.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784451.095,0.0000,0.0000,0.0000,1.0000,0.0008,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784452.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6732
1777784453.094,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0022,-0.0000,0.0000,0.0000,-0.1438,49.6426
