time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rps,right_rps,voltage
1777785660.177,,,,,0.0000,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785661.178,,,,,0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785662.180,,,,,0.0023,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785663.176,,,,,0.0002,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785664.176,,,,,0.0013,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785665.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785666.176,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785667.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785668.176,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785669.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785670.176,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785671.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785672.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785673.180,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785674.176,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0011,-0.0000,0.0000,-0.0076,0.0000,49.6120
1777785675.176,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785676.176,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785677.176,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785678.176,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785679.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785680.176,0.0000,0.0000,0.0000,1.0000,0.0004,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785681.178,0.0000,0.0000,0.0000,1.0000,0.0003,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785682.176,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785683.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785684.176,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.7191
1777785685.176,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785686.178,0.0000,0.0000,0.0000,1.0000,0.0006,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785687.176,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785688.178,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785689.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785690.176,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785691.176,0.0000,0.0000,0.0000,1.0000,0.0001,0.0033,-0.9008,0.9391,0.0000,0.0000,49.5814
1777785692.176,0.0000,0.0000,0.0000,1.0000,0.0826,0.0300,-2.2216,2.3016,0.1831,-0.2060,49.6273
1777785693.176,0.1122,0.0021,0.0047,1.0000,0.1809,-0.2156,-4.0716,4.0080,0.4501,-0.3128,49.6273
1777785694.176,0.3427,-0.0182,-0.0659,0.9978,0.3106,0.1478,-6.8790,6.0059,0.5798,-0.6561,49.6273
1777785695.177,0.6903,-0.0360,0.0239,0.9997,0.4449,0.2056,-9.1210,8.7703,0.7706,-0.9232,49.5508
1777785696.176,1.2081,0.0303,0.0732,0.9973,0.5142,-0.0667,-9.4862,8.9132,0.9537,-0.9155,49.6426
1777785697.176,1.6575,0.0965,0.0875,0.9962,0.5048,0.2844,-10.4291,7.9703,0.8163,-1.0071,49.6273
1777785698.176,2.0785,0.2505,0.2425,0.9702,0.4969,0.2589,-9.6490,8.7504,0.8011,-1.0223,49.6426
1777785699.176,2.5364,0.6385,0.3428,0.9394,0.5064,-0.2133,-8.7060,9.6934,0.9995,-0.8469,49.5967
