time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
1.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
1.5,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
2.0,,,,,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8928
2.5,,,,,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
3.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
3.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
4.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.9234
4.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
5.0,0.0000,0.0000,0.0000,1.0000,-0.0006,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8622
5.5,0.0000,0.0000,0.0000,1.0000,-0.0001,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8163
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7244
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
9.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.8469
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8469
10.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8622
10.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8469
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8622
11.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
12.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8622
12.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.8163
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8775
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
16.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
17.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8469
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8316
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
18.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8316
19.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,51.8163
19.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
20.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.8469
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
21.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
22.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8316
