time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7857
0.5,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8316
1.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
1.5,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8469
2.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8622
2.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
3.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7857
3.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8469
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.8469
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8163
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8316
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.7244
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
9.0,0.0000,0.0000,0.0000,1.0000,0.0013,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8163
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.8316
11.0,0.0000,0.0000,0.0000,1.0000,0.0007,-0.0033,0.0000,-0.0000,0.0000,0.0076,51.8010
11.5,0.0000,0.0000,0.0000,1.0000,-0.0003,-0.0000,0.0000,-0.0000,0.0000,-0.0076,51.7857
12.0,0.0000,0.0000,0.0000,1.0000,0.0003,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
12.5,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0229,51.8622
13.0,0.0000,0.0000,0.0000,1.0000,-0.0014,-0.0022,0.0000,-0.0000,0.0000,-0.0229,51.8469
13.5,0.0000,0.0000,0.0000,1.0000,-0.0007,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.8163
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8163
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.8010
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6938
