timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
23,0.0229,0.0153,0.0000,0.0000
123,0.0076,0.0000,0.0000,0.0000
222,0.0000,0.0000,0.0000,0.0000
323,0.0000,-0.0076,0.0000,0.0000
423,0.0000,0.0000,0.0000,0.0000
523,0.0000,-0.0153,0.0000,0.0000
623,0.0000,0.0000,0.0000,0.0000
723,0.0000,0.0000,0.0000,0.0000
823,0.0000,0.0000,0.0000,0.0000
923,0.0000,0.0000,0.0000,0.0000
1023,0.0229,0.0000,0.0000,0.0000
1123,0.0000,0.0000,0.0000,0.0000
1223,0.0000,0.0000,0.0000,0.0000
1323,0.0000,0.0000,0.0000,0.0000
1423,0.0229,0.0153,0.0000,0.0000
1523,0.0000,0.0153,0.0000,0.0000
1623,0.0000,0.0000,0.0000,0.0000
1723,0.0076,0.0000,0.0000,0.0000
1823,0.0000,0.0000,0.0000,0.0000
1923,0.0000,0.0000,0.0000,0.0000
2023,0.0000,0.0000,0.0000,0.0000
2123,0.0000,0.0229,0.0000,0.0000
2223,0.0000,0.0000,0.0000,0.0000
2323,0.0000,0.0000,0.0000,0.0000
2423,0.0000,0.0000,0.0000,0.0000
2523,0.0000,0.0000,0.0000,0.0000
2623,0.0000,0.0000,0.0000,0.0000
2723,0.0000,0.0000,0.0000,0.0000
2823,0.0000,0.0000,0.0000,0.0000
2923,0.0000,0.0000,0.0000,0.0000
2973,0.0000,0.0000,0.0000,0.0000
3023,-0.0229,0.0000,0.0000,0.0000
3123,0.0000,0.0000,0.0000,0.0000
3223,0.0000,-0.0153,0.0000,0.0000
3323,0.0000,0.0000,0.0000,0.0000
3423,-0.0153,0.0000,0.0000,0.0000
3523,-0.0076,0.0000,0.0000,0.0000
3622,0.0000,0.0000,0.0000,0.0000
3723,0.0000,0.0000,0.0000,0.0000
3823,0.0000,0.0000,0.0000,0.0000
3923,0.0000,0.0000,0.0000,0.0000
4023,-0.0076,0.0000,0.0000,0.0000
4123,0.0000,0.0000,0.0000,0.0000
4173,0.0000,0.0000,0.0000,0.0000
4223,0.0000,0.0000,0.0000,0.0000
4323,0.0000,0.0000,0.0000,0.0000
4423,0.0000,0.0000,0.0000,0.0000
4523,0.0000,0.0000,0.0000,0.0000
4623,0.0000,-0.0076,0.0000,0.0000
4723,0.0000,-0.0229,0.0000,0.0000
4823,0.0000,-0.0153,0.0000,0.0000
4923,0.0000,0.0000,0.0000,0.0000
5023,0.0000,0.0000,0.0000,0.0000
5123,0.0000,0.0000,0.0000,0.0000
5223,0.0000,0.0000,0.0000,0.0000
5323,0.0000,0.0000,0.0000,0.0000
5423,0.0000,-0.0076,0.0000,0.0000
5523,0.0000,-0.0076,0.0000,0.0000
5623,0.0000,-0.0076,0.0000,0.0000
5723,0.0000,0.0153,0.0000,0.0000
5823,0.0000,0.0000,0.0000,0.0000
5923,0.0000,0.0000,0.0000,0.0000
6023,0.0000,0.0000,0.0000,0.0000
6123,0.0000,0.0000,0.0000,0.0000
6222,0.0000,0.0000,0.0000,0.0000
6323,0.0000,0.0000,0.0000,0.0000
6423,0.0000,0.0000,0.0000,0.0000
6523,0.0000,0.0000,0.0000,0.0000
6623,0.0000,0.0000,0.0000,0.0000
