time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022678.715686,,,,,
1777022678.758687,-65.823068,,,0.000000,
1777022678.855552,-65.823068,,,0.000000,
1777022678.955340,-65.823068,,,0.000000,
1777022679.054675,-65.823068,,,0.000000,
1777022679.157912,-65.823068,,,0.000000,
1777022679.257675,-65.823068,,,0.000000,
1777022679.357972,-65.823068,,,0.000000,
1777022679.456313,-65.823068,,,0.000000,
1777022679.555771,-65.823068,,,0.000000,
1777022679.657050,-65.823068,,,0.000000,
1777022679.757658,-65.823068,,,0.000000,
1777022679.856627,-65.823068,-24.087720,-89.910788,0.000000,-24.087720
1777022679.958900,-65.823068,-23.699107,-89.522175,0.000000,-23.699107
1777022680.055050,-65.823068,-23.151253,-88.974321,0.000000,-23.151253
1777022680.159437,-65.823068,-22.792049,-88.615117,0.000000,-22.792049
1777022680.258883,-65.638643,-22.713596,-88.401398,0.000000,-22.713596
1777022680.358952,-65.638643,-22.903392,-88.542035,0.000000,-22.903392
1777022680.458990,-65.638643,-23.343663,-88.982306,0.000000,-23.343663
1777022680.558239,-65.638643,-23.824287,-89.462930,0.000000,-23.824287
1777022680.662358,-65.309375,-24.196805,-89.591958,0.000000,-24.196805
1777022680.754905,-65.309375,-24.527955,-89.837330,0.000000,-24.527955
1777022680.863618,-65.161300,-24.633685,-89.833583,0.000000,-24.633685
1777022680.955772,-65.161300,-24.655006,-89.816306,0.000000,-24.655006
1777022681.054891,-65.174929,-24.636769,-89.808300,0.000000,-24.636769
1777022681.158027,-65.174929,-24.455156,-89.630085,0.000000,-24.455156
1777022681.259136,-65.174929,-24.003022,-89.177950,0.000000,-24.003022
1777022681.358331,-65.174929,-22.966560,-88.141489,0.000000,-22.966560
1777022681.455900,-65.174929,-20.593366,-85.768295,0.000000,-20.593366
1777022681.559417,-65.402886,-16.700283,-82.043853,0.000000,-16.700283
1777022681.656085,-64.972315,-11.349512,-76.428789,0.000000,-11.349512
